TIME: 1698307422559.823730, VX: 0.000029, VY: 0.000019
TIME: 1698307422592.931885, VX: 0.000475, VY: 0.000335
TIME: 1698307422626.493896, VX: -0.000361, VY: -0.000275
TIME: 1698307422659.821777, VX: -0.000026, VY: -0.000047
TIME: 1698307422692.947754, VX: 0.000304, VY: 0.000433
TIME: 1698307422726.459717, VX: 0.002950, VY: 0.001443
TIME: 1698307422759.807861, VX: 0.000049, VY: 0.000018
TIME: 1698307422792.958740, VX: -0.000001, VY: 0.000002
TIME: 1698307422828.073730, VX: 0.000002, VY: -0.000003
TIME: 1698307422859.811768, VX: -0.000026, VY: -0.000000
TIME: 1698307422892.984863, VX: 0.000004, VY: 0.000039
TIME: 1698307422993.138916, VX: -0.000020, VY: 0.000027
TIME: 1698307423026.405762, VX: -0.000079, VY: 0.000019
TIME: 1698307423062.315918, VX: -0.000319, VY: -0.000842
TIME: 1698307423093.195801, VX: -0.000186, VY: -0.000130
TIME: 1698307423127.965820, VX: -0.000280, VY: 0.000407
TIME: 1698307423159.829834, VX: -0.000010, VY: 0.000020
TIME: 1698307423193.191895, VX: 0.001356, VY: -0.000843
TIME: 1698307423226.294922, VX: -0.000754, VY: 0.001084
TIME: 1698307423259.844727, VX: -0.000906, VY: 0.001566
TIME: 1698307423293.229736, VX: -0.000026, VY: 0.000054
TIME: 1698307423326.260742, VX: -0.003030, VY: 0.002874
TIME: 1698307423359.873779, VX: -0.000076, VY: 0.000078
TIME: 1698307423396.814941, VX: -0.002269, VY: 0.000344
TIME: 1698307423426.371826, VX: -0.000477, VY: -0.001270
TIME: 1698307423526.609863, VX: -0.000004, VY: -0.000011
TIME: 1698307423559.674805, VX: -0.000003, VY: -0.000010
TIME: 1698307423593.182861, VX: -0.000001, VY: -0.000006
TIME: 1698307423626.599854, VX: -0.000001, VY: -0.000005
TIME: 1698307423659.689941, VX: -0.000001, VY: -0.000005
TIME: 1698307423693.226807, VX: -0.000001, VY: -0.000004
TIME: 1698307423726.586914, VX: -0.000001, VY: -0.000004
TIME: 1698307423759.696777, VX: -0.000001, VY: -0.000004
TIME: 1698307423793.169922, VX: 0.000281, VY: -0.003278
TIME: 1698307423826.549805, VX: 0.000057, VY: 0.000008
TIME: 1698307423859.723877, VX: 0.000008, VY: 0.000003
TIME: 1698307423896.268799, VX: 0.000002, VY: 0.000002
TIME: 1698307423926.552734, VX: 0.000002, VY: 0.000002
TIME: 1698307423960.540771, VX: 0.000002, VY: 0.000002
TIME: 1698307423993.191895, VX: -0.001761, VY: 0.001263
TIME: 1698307424026.567871, VX: -0.003317, VY: -0.000187
TIME: 1698307424059.791748, VX: -0.000061, VY: -0.000053
TIME: 1698307424094.141846, VX: 0.000705, VY: -0.002053
TIME: 1698307424126.628906, VX: 0.000014, VY: 0.000053
TIME: 1698307424159.876953, VX: 0.000148, VY: 0.000150
TIME: 1698307424193.106934, VX: 0.000044, VY: -0.000020
TIME: 1698307424226.564941, VX: 0.000000, VY: -0.000227
TIME: 1698307424259.939941, VX: -0.000029, VY: -0.000720
TIME: 1698307424293.114746, VX: -0.000830, VY: -0.000757
TIME: 1698307424327.633789, VX: -0.000742, VY: -0.000469
TIME: 1698307424359.930908, VX: -0.000233, VY: -0.000053
TIME: 1698307424393.057861, VX: 0.000333, VY: 0.000216
TIME: 1698307424426.551758, VX: 0.000477, VY: 0.000379
TIME: 1698307424459.928955, VX: 0.000436, VY: 0.000266
TIME: 1698307424493.056885, VX: 0.000281, VY: 0.000230
TIME: 1698307424526.553955, VX: 0.000167, VY: 0.000120
TIME: 1698307424559.929932, VX: 0.000226, VY: -0.000001
TIME: 1698307424593.060791, VX: 0.000103, VY: 0.000004
TIME: 1698307424626.592773, VX: 0.000101, VY: -0.000004
TIME: 1698307424659.972900, VX: 0.000217, VY: -0.000016
TIME: 1698307424693.193848, VX: 0.000288, VY: -0.000009
TIME: 1698307424726.454834, VX: 0.000235, VY: -0.000031
TIME: 1698307424759.947754, VX: 0.000141, VY: -0.000037
TIME: 1698307424793.304932, VX: 0.000130, VY: 0.000001
